,num_comments,num_reactions,num_shares,page_id,post_id,created_time
0,19,45,44,218892821565212,218892821565212_1413971108724038,2017-10-03
1,1,36,3,218892821565212,218892821565212_1413131872141295,2017-10-02
2,0,25,9,218892821565212,218892821565212_1410231182431364,2017-09-29
3,4,37,5,218892821565212,218892821565212_1405794399541709,2017-09-24
4,4,21,7,218892821565212,218892821565212_1399550303499452,2017-09-17
5,0,28,3,218892821565212,218892821565212_1397976453656837,2017-09-15
6,0,54,13,218892821565212,218892821565212_1392614767526339,2017-09-09
7,4,56,4,218892821565212,218892821565212_1390909881030161,2017-09-07
8,0,18,2,218892821565212,218892821565212_1385668411554308,2017-09-01
9,0,14,1,218892821565212,218892821565212_1384122818375534,2017-08-30
10,1,30,1,218892821565212,218892821565212_1380984388689377,2017-08-27
11,13,670,33,218892821565212,218892821565212_1379757645478718,2017-08-26
12,1,29,10,218892821565212,218892821565212_1377220429065773,2017-08-23
13,0,16,1,218892821565212,218892821565212_1373760789411737,2017-08-19
14,6,53,13,218892821565212,218892821565212_1373741849413631,2017-08-19
15,4,30,4,218892821565212,218892821565212_1367594486695034,2017-08-12
16,0,17,5,218892821565212,218892821565212_1366034810184335,2017-08-11
17,11,80,14,218892821565212,218892821565212_1365970420190774,2017-08-10
18,2,19,1,218892821565212,218892821565212_1363470177107465,2017-08-07
