,num_comments,num_reactions,num_shares,page_id,post_id,created_time
0,4,41,3,551268918372423,551268918372423_882637748568870,2017-10-28
1,1,213,76,551268918372423,551268918372423_881579165341395,2017-10-25
2,0,40,6,551268918372423,551268918372423_878433242322654,2017-10-19
3,1,54,4,551268918372423,551268918372423_877369145762397,2017-10-17
4,15,351,28,551268918372423,551268918372423_877040772461901,2017-10-16
5,3,278,10,551268918372423,551268918372423_875697922596186,2017-10-13
6,2,64,2,551268918372423,551268918372423_875664022599576,2017-10-13
7,17,373,9,551268918372423,551268918372423_875510175948294,2017-10-12
8,4,42,2,551268918372423,551268918372423_875348239297821,2017-10-12
9,0,18,1,551268918372423,551268918372423_874604756038836,2017-10-10
10,2,233,10,551268918372423,551268918372423_871881199644525,2017-10-04
11,4,11,3,551268918372423,551268918372423_871867776312534,2017-10-04
12,10,119,6,551268918372423,551268918372423_871026836396628,2017-10-02
13,4,62,5,551268918372423,551268918372423_870504813115497,2017-10-01
14,22,212,1,551268918372423,551268918372423_870077366491575,2017-09-30
15,25,252,101,551268918372423,551268918372423_869458083220170,2017-09-29
16,4,34,1,551268918372423,551268918372423_869453603220618,2017-09-29
17,6,68,6,551268918372423,551268918372423_868668296632482,2017-09-27
18,5,56,1,551268918372423,551268918372423_867197436779568,2017-09-23
19,25,192,101,551268918372423,551268918372423_866934146805897,2017-09-23
20,7,60,4,551268918372423,551268918372423_866103560222289,2017-09-21
21,0,53,8,551268918372423,551268918372423_865384996960812,2017-09-19
22,14,256,15,551268918372423,551268918372423_865156176983694,2017-09-18
23,1,22,3,551268918372423,551268918372423_864111557088156,2017-09-16
24,29,132,24,551268918372423,551268918372423_862095937289718,2017-09-11
25,11,78,2,551268918372423,551268918372423_861667087332603,2017-09-10
26,29,176,14,551268918372423,551268918372423_859677997531512,2017-09-05
27,0,11,1,551268918372423,551268918372423_858293181003327,2017-09-02
28,23,208,6,551268918372423,551268918372423_857806134385365,2017-09-01
29,3,34,2,551268918372423,551268918372423_856235871209058,2017-08-28
30,0,36,2,551268918372423,551268918372423_855888081243837,2017-08-27
31,3,47,5,551268918372423,551268918372423_854787361353909,2017-08-25
32,0,16,1,551268918372423,551268918372423_853963924769586,2017-08-23
33,2,14,2,551268918372423,551268918372423_853566254809353,2017-08-22
34,5,55,4,551268918372423,551268918372423_852243958274916,2017-08-19
35,4,50,2,551268918372423,551268918372423_851874941645151,2017-08-18
36,3,75,3,551268918372423,551268918372423_851512138348098,2017-08-17
37,19,110,20,551268918372423,551268918372423_851295045036474,2017-08-17
38,8,63,5,551268918372423,551268918372423_850820231750622,2017-08-16
39,3,40,1,551268918372423,551268918372423_848529745313004,2017-08-11
40,20,115,18,551268918372423,551268918372423_847715862061059,2017-08-09
41,1,4,1,551268918372423,551268918372423_844778782354767,2017-08-03
42,4,53,1,551268918372423,551268918372423_843500215815957,2017-07-31
43,3,63,5,551268918372423,551268918372423_843459175820061,2017-07-31
